"","X","event_id","event_name","year","gender"
"1",1,257,"Baden Masters",2024,"men"
"2",2,249,"GSOC Players Championship",2024,"men"
"3",3,251,"World Championships",2024,"men"
"4",4,245,"USports Championships",2024,"men"
"5",5,244,"Brier",2024,"men"
"6",6,253,"Junior World Championships",2024,"men"
"7",7,241,"GSOC Canadian Open",2024,"men"
"8",8,239,"GSOC Masters",2023,"men"
"9",9,255,"European Championships",2023,"men"
"10",10,233,"GSOC National",2023,"men"
"11",11,235,"Pan Continental Championship",2023,"men"
"12",12,229,"GSOC Tour Challenge Tier 1",2023,"men"
"13",13,231,"GSOC Tour Challenge Tier 2",2023,"men"
"14",14,227,"Pointsbet invitational",2023,"men"
"15",15,219,"GSOC Champions Cup",2023,"men"
"16",16,217,"GSOC Players Championship",2023,"men"
"17",17,215,"World Championships",2023,"men"
"18",18,224,"CCAA Championships",2023,"men"
"19",19,247,"USports Championships",2023,"men"
"20",20,205,"Brier",2023,"men"
"21",21,207,"Junior World Championships",2023,"men"
"22",22,202,"Canadian U18 Championships",2023,"men"
"23",23,212,"World University Games",2023,"men"
"24",24,201,"GSOC Canadian Open",2023,"men"
"25",25,199,"GSOC Masters",2022,"men"
"26",26,196,"European Championships",2022,"men"
"27",27,195,"Pan Continental Championship",2022,"men"
"28",28,190,"GSOC Tour Challenge Tier 1",2022,"men"
"29",29,192,"GSOC Tour Challenge Tier 2",2022,"men"
"30",30,187,"GSOC National",2022,"men"
"31",31,188,"Pointsbet Invitational",2022,"men"
"32",32,184,"Baden Masters",2022,"men"
"33",33,175,"Junior World Championships",2022,"men"
"34",34,158,"GSOC Champions Cup",2022,"men"
"35",35,96,"GSOC Players Championship",2022,"men"
"36",36,94,"World Championships",2022,"men"
"37",37,92,"Canadian Under-21 Championships",2022,"men"
"38",38,90,"Brier",2022,"men"
"39",39,87,"Olympics",2022,"men"
"40",40,83,"Olympic Qualification Event",2021,"men"
"41",41,78,"Canadian Olympic Trials",2021,"men"
"42",42,76,"European Championships",2021,"men"
"43",43,80,"GSOC National",2021,"men"
"44",44,73,"Canadian Olympic Pre-Trials",2021,"men"
"45",45,81,"GSOC Masters",2021,"men"
"46",46,104,"GSOC Players Championship",2021,"men"
"47",47,86,"GSOC Champions Cup",2021,"men"
"48",48,2,"World Championships",2021,"men"
"49",49,34,"Brier",2021,"men"
"50",50,133,"U Sports Championships",2020,"men"
"51",51,33,"Brier",2020,"men"
"52",52,142,"Brier Wild Card Game",2020,"men"
"53",53,39,"Junior World Championships",2020,"men"
"54",54,42,"Manitoba Championships",2020,"men"
"55",55,117,"Canadian Juniors",2020,"men"
"56",56,36,"Canada Cup",2019,"men"
"57",57,69,"European Championships",2019,"men"
"58",58,67,"Pacific Asia Championships",2019,"men"
"59",59,136,"Curling World Cup Final",2019,"men"
"60",60,22,"World Championships",2019,"men"
"61",61,32,"Brier",2019,"men"
"62",62,143,"Brier Wild Card Game",2019,"men"
"63",63,99,"Junior World Championships",2019,"men"
"64",64,41,"Manitoba Championships",2019,"men"
"65",65,135,"Curling World Cup Leg 3",2019,"men"
"66",66,118,"Canadian Juniors",2019,"men"
"67",67,35,"Canada Cup",2018,"men"
"68",68,134,"Curling World Cup Leg 2",2018,"men"
"69",69,103,"European Championships",2018,"men"
"70",70,116,"Pacific Asia Championships",2018,"men"
"71",71,137,"Curling World Cup Leg 1",2018,"men"
"72",72,21,"World Championships",2018,"men"
"73",73,153,"U Sports Championships",2018,"men"
"74",74,155,"CCAA Championships",2018,"men"
"75",75,31,"Brier",2018,"men"
"76",76,100,"Junior World Championships",2018,"men"
"77",77,144,"Brier Wild Card Game",2018,"men"
"78",78,106,"Olympics",2018,"men"
"79",79,177,"Manitoba Championships",2018,"men"
"80",80,119,"Canadian Juniors",2018,"men"
"81",81,46,"Roar Of The Rings",2017,"men"
"82",82,65,"Olympic Qualification Event",2017,"men"
"83",83,102,"European Championships",2017,"men"
"84",84,141,"Canadian Olympic Pre-Trials",2017,"men"
"85",85,115,"Pacific Asia Championships",2017,"men"
"86",86,145,"Canadian U-18 Championships",2017,"men"
"87",87,20,"World Championships",2017,"men"
"88",88,150,"CIS Championships",2017,"men"
"89",89,30,"Brier",2017,"men"
"90",90,98,"Junior World Championships",2017,"men"
"91",91,132,"World University Games",2017,"men"
"92",92,120,"Canadian Juniors",2017,"men"
"93",93,114,"Canada Cup",2016,"men"
"94",94,101,"European Championships",2016,"men"
"95",95,5,"World Championships",2016,"men"
"96",96,148,"CIS Championships",2016,"men"
"97",97,29,"Brier",2016,"men"
"98",98,97,"Junior World Championships",2016,"men"
"99",99,121,"Canadian Juniors",2016,"men"
"100",100,131,"Canada Cup",2015,"men"
"101",101,58,"European Championships",2015,"men"
"102",102,54,"Junior World Championships",2015,"men"
"103",103,56,"European Championships",2014,"men"
"104",104,52,"World Championships",2014,"men"
"105",105,107,"Olympics",2014,"men"
"106",106,105,"Junior World Championships",2013,"men"
"107",107,172,"Brier",2013,"men"
"108",108,171,"Brier",2012,"men"
"109",109,170,"Brier",2011,"men"
"110",110,167,"Brier",2010,"men"
"111",111,108,"Olympics",2010,"men"
"112",112,168,"Brier",2009,"men"
"113",113,222,"Junior World Championships",2009,"men"
"114",114,169,"Brier",2008,"men"
"115",115,160,"Brier",2007,"men"
"116",116,161,"Brier",2006,"men"
"117",117,109,"Olympics",2006,"men"
