"","year","event","event_id","game_id","start_time","round","draw","sheet","team1","team2","team1_score","team2_score","lsfe_team","ee"
"1","2024","Baden Masters",257,"15636","2024-08-18 12:00:00",NA,"Final",NA,"Mouat","Schwaller","7","6","Mouat","1"
"2","2024","GSOC Players Championship",249,"15538","2024-04-14 13:30:00",NA,"20","B","Retornaz","Gushue","6","7","Gushue","0"
"3","2024","GSOC Players Championship",249,"15567","2024-04-13 18:30:00",NA,"18","A","Mouat","Gushue","5","6","Mouat","0"
"4","2024","GSOC Players Championship",249,"15565","2024-04-13 18:30:00",NA,"18","C","McEwen","Retornaz","5","6","McEwen","0"
"5","2024","GSOC Players Championship",249,"15535","2024-04-13 14:30:00",NA,"17","A","Retornaz","Edin","7","2","Retornaz","0"
"6","2024","GSOC Players Championship",249,"15536","2024-04-13 14:30:00",NA,"17","C","Whyte","Gushue","5","6","Whyte","0"
"7","2024","GSOC Players Championship",249,"15527","2024-04-12 18:00:00",NA,"15","B","Edin","Jacobs","3","1","Edin","0"
"8","2024","GSOC Players Championship",249,"15511","2024-04-12 18:00:00",NA,"15","D","Y. Schwaller","McEwen","7","4","Y. Schwaller","0"
"9","2024","GSOC Players Championship",249,"15577","2024-04-12 14:00:00",NA,"14","D","Dunstone","Craik","6","3","Dunstone","0"
"10","2024","GSOC Players Championship",249,"15550","2024-04-12 10:00:00",NA,"13","B","Gushue","Bottcher","2","8","Bottcher","0"
"11","2024","GSOC Players Championship",249,"15559","2024-04-12 10:00:00",NA,"13","D","Retornaz","Whyte","8","7","Retornaz","0"
"12","2024","GSOC Players Championship",249,"15526","2024-04-12 06:30:00",NA,"12","A","Craik","McEwen","3","8","Craik","0"
"13","2024","GSOC Players Championship",249,"15537","2024-04-12 06:30:00",NA,"12","C","Koe","Edin","5","6","Edin","0"
"14","2024","GSOC Players Championship",249,"15543","2024-04-11 18:30:00",NA,"11","B","Y. Schwaller","Whyte","5","7","Y. Schwaller","0"
