"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"1","Hammy McMillan","Mouat","3.4615","3.3315","13",257,"DRAW"
"2","Sven Michel","Schwaller","3.8750","3.0598","8",257,"DRAW"
"3","Grant Hardie","Mouat","4.0000","3.0889","6",257,"DRAW"
"4","Benoit Schwarz","Schwaller","3.8333","3.071","6",257,"DRAW"
"5","Pablo Lachat","Schwaller","3.4000","3.2511","5",257,"DRAW"
"6","Bruce Mouat","Mouat","2.6000","3.0655","5",257,"DRAW"
"7","Bobby Lammie","Mouat","3.5000","3.0417","4",257,"DRAW"
"8","Yannick Schwaller","Schwaller","4.0000","3.0218","3",257,"DRAW"
"9","Bruce Mouat","Mouat","4.0000","3.1184","5",257,"TAKE-OUT"
"10","Sven Michel","Schwaller","4.0000","3.1605","3",257,"TAKE-OUT"
"11","Grant Hardie","Mouat","4.0000","3.1844","3",257,"TAKE-OUT"
"12","Yannick Schwaller","Schwaller","1.0000","3.1979","2",257,"TAKE-OUT"
"13","Hammy McMillan","Mouat","4.0000","3.1887","1",257,"TAKE-OUT"
"14","Bobby Lammie","Mouat","4.0000","3.3667","1",257,"TAKE-OUT"
"15","Pablo Lachat","Schwaller","4.0000","3.6708","10",257,"FRONT"
"16","Sven Michel","Schwaller","4.0000","3.6019","2",257,"FRONT"
"17","Hammy McMillan","Mouat","4.0000","3.6838","1",257,"FRONT"
"18","Yannick Schwaller","Schwaller","0.0000","3.7154","1",257,"FRONT"
"19","Benoit Schwarz","Schwaller","3.5714","2.9706","7",257,"HIT-ROLL"
"20","Yannick Schwaller","Schwaller","3.0000","3.087","6",257,"HIT-ROLL"
"21","Bobby Lammie","Mouat","3.7500","3.0488","4",257,"HIT-ROLL"
"22","Grant Hardie","Mouat","3.2500","3.1093","4",257,"HIT-ROLL"
"23","Bruce Mouat","Mouat","4.0000","2.9068","3",257,"HIT-ROLL"
"24","Hammy McMillan","Mouat","4.0000","3.4648","1",257,"HIT-ROLL"
"25","Pablo Lachat","Schwaller","2.0000","3.2647","1",257,"HIT-ROLL"
"26","Sven Michel","Schwaller","4.0000","2.9646","1",257,"HIT-ROLL"
"27","Bobby Lammie","Mouat","4.0000","3.4382","3",257,"GUARD"
"28","Pablo Lachat","Schwaller","3.5000","3.1099","2",257,"GUARD"
"29","Yannick Schwaller","Schwaller","4.0000","3.4348","2",257,"GUARD"
"30","Hammy McMillan","Mouat","4.0000","3.0675","1",257,"GUARD"
"31","Grant Hardie","Mouat","1.0000","3.4327","1",257,"GUARD"
"32","Sven Michel","Schwaller","4.0000","3.4334","1",257,"GUARD"
"33","Benoit Schwarz","Schwaller","4.0000","3.4926","1",257,"GUARD"
"34","Bobby Lammie","Mouat","4.0000","3.7144","3",257,"CLEARING"
"35","Bruce Mouat","Mouat","4.0000","3.7173","3",257,"CLEARING"
"36","Grant Hardie","Mouat","4.0000","3.7739","1",257,"CLEARING"
"37","Benoit Schwarz","Schwaller","3.3333","2.8271","3",257,"DOUBLE"
"38","Sven Michel","Schwaller","4.0000","2.9327","3",257,"DOUBLE"
"39","Bobby Lammie","Mouat","4.0000","2.9694","2",257,"DOUBLE"
"40","Yannick Schwaller","Schwaller","4.0000","3.0035","1",257,"DOUBLE"
"41","Grant Hardie","Mouat","4.0000","2.8558","1",257,"DOUBLE"
"42","Grant Hardie","Mouat","4.0000","2.8262","1",257,"WICK"
"43","Yannick Schwaller","Schwaller","4.0000","2.8729","1",257,"WICK"
"44","Hammy McMillan","Mouat","0.0000","2.8792","1",257,"WICK"
"45","Mattia Giovanella","Retornaz","3.6818","3.5324","44",249,"DRAW"
"46","Daniel Marsh","McEwen","3.6364","3.5458","44",249,"DRAW"
"47","Geoff Walker","Gushue","3.3590","3.5506","39",249,"DRAW"
"48","Ben Hebert","Bottcher","3.5897","3.5538","39",249,"DRAW"
"49","Karrick Martin","Koe","3.6757","3.5526","37",249,"DRAW"
"50","Joel Retornaz","Retornaz","3.1667","3.1493","36",249,"DRAW"
"51","Ryan Harnden","Dunstone","3.6111","3.5536","36",249,"DRAW"
"52","Christoffer Sundgren","Edin","3.6857","3.5021","35",249,"DRAW"
"53","Pablo Lachat","Y. Schwaller","3.3235","3.5343","34",249,"DRAW"
"54","Brad Gushue","Gushue","3.4706","3.2587","34",249,"DRAW"
"55","craig waddell","Whyte","3.8824","3.5803","34",249,"DRAW"
"56","Connor Njegovan","Jacobs","3.5172","3.5156","29",249,"DRAW"
"57","Mike McEwen","McEwen","3.4643","3.2816","28",249,"DRAW"
"58","Blair Haswell","Craik","3.6786","3.5156","28",249,"DRAW"
"59","Hammy McMillan","Mouat","3.7143","3.5615","28",249,"DRAW"
"60","Benoit Schwarz - Van Berkel","Y. Schwaller","3.4074","3.1452","27",249,"DRAW"
"61","Sebastiano Arman","Retornaz","2.6296","3.2395","27",249,"DRAW"
"62","Colton Lott","Dunstone","2.8400","3.2142","25",249,"DRAW"
"63","Matt Dunstone","Dunstone","2.7600","3.1784","25",249,"DRAW"
"64","Kevin Koe","Koe","3.2400","3.0478","25",249,"DRAW"
"65","Rasmus Wrana","Edin","3.4800","3.226","25",249,"DRAW"
"66","Jacques Gauthier","Koe","3.6087","3.2406","23",249,"DRAW"
"67","Amos Mosaner","Retornaz","2.7273","3.2729","22",249,"DRAW"
"68","Oskar Eriksson","Edin","3.5000","3.2079","22",249,"DRAW"
"69","Bruce Mouat","Mouat","2.9524","3.1986","21",249,"DRAW"
"70","Ross Whyte","Whyte","3.5714","3.212","21",249,"DRAW"
"71","Angus Bryce","Craik","3.0500","3.2455","20",249,"DRAW"
"72","Brendan Bottcher","Bottcher","3.1500","3.1523","20",249,"DRAW"
"73","E.J. Harnden","Gushue","3.4211","3.2569","19",249,"DRAW"
