"","ends_left","hammer","margin","win_probability","gender","team1","team2","ticks_allowed"
"1","1","0","-6","0","men","1-25","1-25",NA
"2","1","0","-5","0","men","1-25","1-25",NA
"3","1","0","-4","0","men","1-25","1-25",NA
"4","1","0","-3","0","men","1-25","1-25",NA
"5","1","0","-2","0","men","1-25","1-25",NA
"6","1","0","-1","1.2","men","1-25","1-25",NA
"7","1","0","0","11.2","men","1-25","1-25",NA
"8","1","0","1","61.1","men","1-25","1-25",NA
"9","1","0","2","89.9","men","1-25","1-25",NA
"10","1","0","3","99.9","men","1-25","1-25",NA
"11","1","0","4","100","men","1-25","1-25",NA
"12","1","0","5","100","men","1-25","1-25",NA
"13","1","0","6","100","men","1-25","1-25",NA
"14","1","1","-6","0","men","1-25","1-25",NA
"15","1","1","-5","0","men","1-25","1-25",NA
"16","1","1","-4","0","men","1-25","1-25",NA
"17","1","1","-3","0.1","men","1-25","1-25",NA
"18","1","1","-2","10.1","men","1-25","1-25",NA
"19","1","1","-1","38.9","men","1-25","1-25",NA
"20","1","1","0","88.8","men","1-25","1-25",NA
"21","1","1","1","98.8","men","1-25","1-25",NA
"22","1","1","2","100","men","1-25","1-25",NA
"23","1","1","3","100","men","1-25","1-25",NA
"24","1","1","4","100","men","1-25","1-25",NA
"25","1","1","5","100","men","1-25","1-25",NA
"26","1","1","6","100","men","1-25","1-25",NA
"27","2","0","-6","0","men","1-25","1-25",NA
"28","2","0","-5","0","men","1-25","1-25",NA
"29","2","0","-4","0","men","1-25","1-25",NA
"30","2","0","-3","0.1","men","1-25","1-25",NA
"31","2","0","-2","0.6","men","1-25","1-25",NA
"32","2","0","-1","4.5","men","1-25","1-25",NA
"33","2","0","0","27.8","men","1-25","1-25",NA
"34","2","0","1","66.1","men","1-25","1-25",NA
"35","2","0","2","91.8","men","1-25","1-25",NA
"36","2","0","3","98.3","men","1-25","1-25",NA
"37","2","0","4","100","men","1-25","1-25",NA
"38","2","0","5","100","men","1-25","1-25",NA
"39","2","0","6","100","men","1-25","1-25",NA
"40","2","1","-6","0","men","1-25","1-25",NA
"41","2","1","-5","0","men","1-25","1-25",NA
"42","2","1","-4","0","men","1-25","1-25",NA
"43","2","1","-3","1.7","men","1-25","1-25",NA
"44","2","1","-2","8.2","men","1-25","1-25",NA
"45","2","1","-1","33.9","men","1-25","1-25",NA
"46","2","1","0","72.2","men","1-25","1-25",NA
"47","2","1","1","95.5","men","1-25","1-25",NA
"48","2","1","2","99.4","men","1-25","1-25",NA
"49","2","1","3","99.9","men","1-25","1-25",NA
"50","2","1","4","100","men","1-25","1-25",NA
"51","2","1","5","100","men","1-25","1-25",NA
"52","2","1","6","100","men","1-25","1-25",NA
"53","3","0","-6","0","men","1-25","1-25",NA
"54","3","0","-5","0","men","1-25","1-25",NA
"55","3","0","-4","0","men","1-25","1-25",NA
"56","3","0","-3","0","men","1-25","1-25",NA
"57","3","0","-2","1.9","men","1-25","1-25",NA
"58","3","0","-1","7.1","men","1-25","1-25",NA
"59","3","0","0","29.5","men","1-25","1-25",NA
"60","3","0","1","61.8","men","1-25","1-25",NA
"61","3","0","2","84","men","1-25","1-25",NA
"62","3","0","3","97.5","men","1-25","1-25",NA
"63","3","0","4","99.4","men","1-25","1-25",NA
"64","3","0","5","99.9","men","1-25","1-25",NA
"65","3","0","6","100","men","1-25","1-25",NA
"66","3","1","-6","0","men","1-25","1-25",NA
"67","3","1","-5","0.1","men","1-25","1-25",NA
"68","3","1","-4","0.6","men","1-25","1-25",NA
"69","3","1","-3","2.5","men","1-25","1-25",NA
"70","3","1","-2","16","men","1-25","1-25",NA
"71","3","1","-1","38.2","men","1-25","1-25",NA
"72","3","1","0","70.5","men","1-25","1-25",NA
"73","3","1","1","92.9","men","1-25","1-25",NA
