"","year","event","event_id","game_id","start_time","round","draw","sheet","team1","team2","team1_score","team2_score","lsfe_team","ee"
"1","2024","GSOC Players Championship",250,"15531","2024-04-14 09:00:00",NA,"19","B","Tirinzoni","Wrana","6","5","Tirinzoni","0"
"2","2024","GSOC Players Championship",250,"15519","2024-04-13 18:30:00",NA,"18","B","Gim","Wrana","5","6","Wrana","0"
"3","2024","GSOC Players Championship",250,"15542","2024-04-13 18:30:00",NA,"18","D","Tirinzoni","Homan","5","3","Homan","0"
"4","2024","GSOC Players Championship",250,"15555","2024-04-13 10:30:00",NA,"16","B","Tirinzoni","Kim","6","3","Tirinzoni","0"
"5","2024","GSOC Players Championship",250,"15564","2024-04-13 10:30:00",NA,"16","D","Gim","Hasselborg","8","7","Gim","1"
"6","2024","GSOC Players Championship",250,"15573","2024-04-12 18:00:00",NA,"15","A","Hasselborg","Jones","7","6","Jones","0"
"7","2024","GSOC Players Championship",250,"15546","2024-04-12 18:00:00",NA,"15","C","X. Schwaller","Lawes","5","7","X. Schwaller","0"
"8","2024","GSOC Players Championship",250,"15532","2024-04-12 14:00:00",NA,"14","A","Constantini","Wrana","4","5","Wrana","0"
"9","2024","GSOC Players Championship",250,"15548","2024-04-12 14:00:00",NA,"14","C","Kim","Einarson","6","7","Einarson","1"
"10","2024","GSOC Players Championship",250,"15514","2024-04-12 10:00:00",NA,"13","A","Fujisawa","Homan","5","6","Homan","1"
"11","2024","GSOC Players Championship",250,"15560","2024-04-12 10:00:00",NA,"13","C","Gim","Tirinzoni","11","9","Gim","0"
"12","2024","GSOC Players Championship",250,"15544","2024-04-12 06:30:00",NA,"12","B","Lawes","Einarson","5","6","Lawes","0"
"13","2024","GSOC Players Championship",250,"15509","2024-04-12 06:30:00",NA,"12","D","Constantini","Hasselborg","4","5","Hasselborg","0"
"14","2024","GSOC Players Championship",250,"15534","2024-04-11 18:30:00",NA,"11","A","X. Schwaller","Gim","4","5","Gim","0"
"15","2024","GSOC Players Championship",250,"15570","2024-04-11 18:30:00",NA,"11","C","Jones","Homan","3","8","Homan","0"
"16","2024","GSOC Players Championship",250,"15524","2024-04-11 14:30:00",NA,"10","A","Kim","Lawes","4","3","Kim","0"
"17","2024","GSOC Players Championship",250,"15566","2024-04-11 14:30:00",NA,"10","C","Wrana","Hasselborg","8","7","Wrana","0"
"18","2024","GSOC Players Championship",250,"15569","2024-04-11 10:30:00",NA,"9","A","Einarson","Tirinzoni","3","7","Tirinzoni","0"
"19","2024","GSOC Players Championship",250,"15522","2024-04-11 10:30:00",NA,"9","C","Fujisawa","Constantini","5","8","Constantini","0"
"20","2024","GSOC Players Championship",250,"15529","2024-04-11 07:00:00",NA,"8","B","Wrana","Homan","4","7","Homan","0"
"21","2024","GSOC Players Championship",250,"15557","2024-04-11 07:00:00",NA,"8","D","Gim","Kim","1","8","Kim","0"
"22","2024","GSOC Players Championship",250,"15576","2024-04-10 18:30:00",NA,"7","A","Fujisawa","Jones","9","4","Fujisawa","0"
"23","2024","GSOC Players Championship",250,"15554","2024-04-10 18:30:00",NA,"7","C","Tirinzoni","X. Schwaller","7","3","Tirinzoni","0"
"24","2024","GSOC Players Championship",250,"15533","2024-04-10 14:30:00",NA,"6","B","Lawes","Gim","7","8","Gim","0"
"25","2024","GSOC Players Championship",250,"15552","2024-04-10 14:30:00",NA,"6","D","Homan","Hasselborg","7","1","Homan","0"
"26","2024","GSOC Players Championship",250,"15568","2024-04-10 10:30:00",NA,"5","B","Kim","Tirinzoni","4","6","Tirinzoni","0"
"27","2024","GSOC Players Championship",250,"15520","2024-04-10 10:30:00",NA,"5","D","Wrana","Fujisawa","8","3","Wrana","0"
"28","2024","GSOC Players Championship",250,"15540","2024-04-10 07:00:00",NA,"4","B","Einarson","X. Schwaller","4","6","X. Schwaller","0"
"29","2024","GSOC Players Championship",250,"15562","2024-04-10 07:00:00",NA,"4","D","Jones","Constantini","8","5","Jones","0"
"30","2024","GSOC Players Championship",250,"15556","2024-04-09 17:30:00",NA,"3","B","Hasselborg","Fujisawa","6","5","Fujisawa","0"
"31","2024","GSOC Players Championship",250,"15513","2024-04-09 14:00:00",NA,"2","B","Constantini","Homan","1","7","Constantini","0"
"32","2024","GSOC Players Championship",250,"15512","2024-04-09 14:00:00",NA,"2","D","Gim","Einarson","5","4","Gim","1"
"33","2024","GSOC Players Championship",250,"15561","2024-04-09 10:30:00",NA,"1","B","Jones","Wrana","2","9","Jones","0"
"34","2024","GSOC Players Championship",250,"15575","2024-04-09 10:30:00",NA,"1","D","Kim","X. Schwaller","4","3","Kim","0"
"35","2024","World Championships",252,"7354","2024-03-24 17:00:00",NA,"Gold Medal Game",NA,"CAN (Homan)","SUI (Tirinzoni)","7","5","CAN (Homan)","0"
"36","2024","World Championships",252,"7355","2024-03-24 11:00:00",NA,"Bronze Medal Game",NA,"ITA (Constantini)","KOR (Gim)","3","6","ITA (Constantini)","0"
"37","2024","World Championships",252,"7364","2024-03-23 17:00:00",NA,"Semi-final","B","CAN (Homan)","KOR (Gim)","9","7","CAN (Homan)","0"
"38","2024","World Championships",252,"7365","2024-03-23 17:00:00",NA,"Semi-final","D","ITA (Constantini)","SUI (Tirinzoni)","3","6","SUI (Tirinzoni)","0"
"39","2024","World Championships",252,"7366","2024-03-23 11:00:00",NA,"Qualification","B","DEN (Dupont)","ITA (Constantini)","4","7","ITA (Constantini)","0"
"40","2024","World Championships",252,"7367","2024-03-23 11:00:00",NA,"Qualification","D","KOR (Gim)","SWE (Hasselborg)","6","3","KOR (Gim)","0"
"41","2024","World Championships",252,"7368","2024-03-22 19:00:00",NA,"Draw 20","A","EST (Turmann)","NOR (Roervik)","8","6","EST (Turmann)","0"
"42","2024","World Championships",252,"7369","2024-03-22 19:00:00",NA,"Draw 20","B","ITA (Constantini)","JPN (Ueno)","10","8","ITA (Constantini)","1"
"43","2024","World Championships",252,"7370","2024-03-22 19:00:00",NA,"Draw 20","C","CAN (Homan)","KOR (Gim)","5","6","KOR (Gim)","0"
"44","2024","World Championships",252,"7442","2024-03-22 19:00:00",NA,"Draw 20","D","NZL (Smith)","USA (Peterson)","3","9","USA (Peterson)","0"
"45","2024","World Championships",252,"7443","2024-03-22 14:00:00",NA,"Draw 19","A","DEN (Dupont)","KOR (Gim)","5","9","KOR (Gim)","0"
"46","2024","World Championships",252,"7444","2024-03-22 14:00:00",NA,"Draw 19","B","CAN (Homan)","SCO (Morrison)","8","2","CAN (Homan)","0"
"47","2024","World Championships",252,"7445","2024-03-22 14:00:00",NA,"Draw 19","C","NZL (Smith)","TUR (Yildiz)","6","9","TUR (Yildiz)","0"
"48","2024","World Championships",252,"7446","2024-03-22 14:00:00",NA,"Draw 19","D","SUI (Tirinzoni)","SWE (Hasselborg)","4","2","SWE (Hasselborg)","0"
"49","2024","World Championships",252,"7447","2024-03-22 09:00:00",NA,"Draw 18","A","ITA (Constantini)","SUI (Tirinzoni)","2","6","ITA (Constantini)","0"
"50","2024","World Championships",252,"7448","2024-03-22 09:00:00",NA,"Draw 18","B","DEN (Dupont)","NOR (Roervik)","3","9","NOR (Roervik)","0"
"51","2024","World Championships",252,"7449","2024-03-22 09:00:00",NA,"Draw 18","C","EST (Turmann)","USA (Peterson)","4","12","EST (Turmann)","0"
"52","2024","World Championships",252,"7450","2024-03-22 09:00:00",NA,"Draw 18","D","JPN (Ueno)","SCO (Morrison)","2","7","SCO (Morrison)","0"
"53","2024","World Championships",252,"7451","2024-03-21 19:00:00",NA,"Draw 17","A","CAN (Homan)","NZL (Smith)","9","2","CAN (Homan)","0"
"54","2024","World Championships",252,"7452","2024-03-21 19:00:00",NA,"Draw 17","B","KOR (Gim)","USA (Peterson)","9","3","KOR (Gim)","0"
"55","2024","World Championships",252,"7453","2024-03-21 19:00:00",NA,"Draw 17","C","JPN (Ueno)","SWE (Hasselborg)","3","5","JPN (Ueno)","0"
"56","2024","World Championships",252,"7454","2024-03-21 19:00:00",NA,"Draw 17","D","ITA (Constantini)","TUR (Yildiz)","7","6","ITA (Constantini)","0"
"57","2024","World Championships",252,"7455","2024-03-21 14:00:00",NA,"Draw 16","A","SCO (Morrison)","TUR (Yildiz)","6","5","SCO (Morrison)","0"
"58","2024","World Championships",252,"7456","2024-03-21 14:00:00",NA,"Draw 16","B","EST (Turmann)","SWE (Hasselborg)","5","8","SWE (Hasselborg)","0"
"59","2024","World Championships",252,"7457","2024-03-21 14:00:00",NA,"Draw 16","C","DEN (Dupont)","SUI (Tirinzoni)","1","9","SUI (Tirinzoni)","0"
"60","2024","World Championships",252,"7458","2024-03-21 14:00:00",NA,"Draw 16","D","KOR (Gim)","NOR (Roervik)","7","4","NOR (Roervik)","0"
"61","2024","World Championships",252,"7459","2024-03-21 09:00:00",NA,"Draw 15","A","JPN (Ueno)","USA (Peterson)","7","9","JPN (Ueno)","0"
"62","2024","World Championships",252,"7460","2024-03-21 09:00:00",NA,"Draw 15","B","NZL (Smith)","SUI (Tirinzoni)","2","10","SUI (Tirinzoni)","0"
"63","2024","World Championships",252,"7461","2024-03-21 09:00:00",NA,"Draw 15","C","ITA (Constantini)","NOR (Roervik)","10","2","ITA (Constantini)","0"
"64","2024","World Championships",252,"7462","2024-03-21 09:00:00",NA,"Draw 15","D","CAN (Homan)","EST (Turmann)","9","4","EST (Turmann)","0"
"65","2024","World Championships",252,"7463","2024-03-20 19:00:00",NA,"Draw 14","A","KOR (Gim)","SWE (Hasselborg)","7","5","KOR (Gim)","0"
"66","2024","World Championships",252,"7464","2024-03-20 19:00:00",NA,"Draw 14","B","CAN (Homan)","TUR (Yildiz)","9","5","CAN (Homan)","0"
"67","2024","World Championships",252,"7465","2024-03-20 19:00:00",NA,"Draw 14","C","SCO (Morrison)","USA (Peterson)","6","8","SCO (Morrison)","0"
"68","2024","World Championships",252,"7466","2024-03-20 19:00:00",NA,"Draw 14","D","DEN (Dupont)","NZL (Smith)","7","1","DEN (Dupont)","0"
"69","2024","World Championships",252,"7467","2024-03-20 14:00:00",NA,"Draw 13","A","DEN (Dupont)","ITA (Constantini)","6","8","ITA (Constantini)","0"
"70","2024","World Championships",252,"7468","2024-03-20 14:00:00",NA,"Draw 13","B","JPN (Ueno)","NOR (Roervik)","8","5","NOR (Roervik)","0"
"71","2024","World Championships",252,"7469","2024-03-20 14:00:00",NA,"Draw 13","C","EST (Turmann)","TUR (Yildiz)","6","8","EST (Turmann)","0"
"72","2024","World Championships",252,"7470","2024-03-20 14:00:00",NA,"Draw 13","D","SCO (Morrison)","SUI (Tirinzoni)","6","5","SUI (Tirinzoni)","1"
"73","2024","World Championships",252,"7471","2024-03-20 09:00:00",NA,"Draw 12","A","NOR (Roervik)","NZL (Smith)","11","4","NZL (Smith)","0"
"74","2024","World Championships",252,"7472","2024-03-20 09:00:00",NA,"Draw 12","B","ITA (Constantini)","KOR (Gim)","10","9","ITA (Constantini)","0"
"75","2024","World Championships",252,"7473","2024-03-20 09:00:00",NA,"Draw 12","C","CAN (Homan)","JPN (Ueno)","7","2","CAN (Homan)","0"
"76","2024","World Championships",252,"7474","2024-03-20 09:00:00",NA,"Draw 12","D","SWE (Hasselborg)","USA (Peterson)","10","5","SWE (Hasselborg)","0"
"77","2024","World Championships",252,"7475","2024-03-19 19:00:00",NA,"Draw 11","A","CAN (Homan)","SUI (Tirinzoni)","8","5","CAN (Homan)","0"
"78","2024","World Championships",252,"7476","2024-03-19 19:00:00",NA,"Draw 11","B","EST (Turmann)","SCO (Morrison)","8","12","EST (Turmann)","0"
"79","2024","World Championships",252,"7477","2024-03-19 19:00:00",NA,"Draw 11","C","DEN (Dupont)","SWE (Hasselborg)","5","6","DEN (Dupont)","1"
"80","2024","World Championships",252,"7478","2024-03-19 19:00:00",NA,"Draw 11","D","KOR (Gim)","TUR (Yildiz)","10","3","KOR (Gim)","0"
"81","2024","World Championships",252,"7479","2024-03-19 14:00:00",NA,"Draw 10","A","EST (Turmann)","JPN (Ueno)","4","10","EST (Turmann)","0"
"82","2024","World Championships",252,"7480","2024-03-19 14:00:00",NA,"Draw 10","B","DEN (Dupont)","USA (Peterson)","7","4","DEN (Dupont)","0"
"83","2024","World Championships",252,"7481","2024-03-19 14:00:00",NA,"Draw 10","C","ITA (Constantini)","NZL (Smith)","11","3","ITA (Constantini)","0"
