"","athlete","team","avg_pts","exp_pts","n","event_id"
"1","Val Sweeting","Einarson","3.4875","3.1676","80",250
"2","Sara McManus","Hasselborg","3.5333","3.246","90",250
"3","Alina Pätz","Tirinzoni","3.3740","3.0872","123",250
"4","KYEONGAE KIM","Kim","3.3913","3.1336","92",250
"5","Tracy Fleury","Homan","3.4302","3.2024","86",250
"6","Anna Hasselborg","Hasselborg","3.3111","3.1092","90",250
"7","Sarah Wilkes","Homan","3.6163","3.4255","86",250
"8","Rachel Homan","Homan","3.1807","2.9976","83",250
"9","Almida de Val","Wrana","3.3611","3.1819","108",250
"10","seonyeong kim","Kim","3.5978","3.4583","92",250
"11","Isabella Wrana","Wrana","3.1509","3.0114","106",250
"12","Emma Miskew","Homan","3.3488","3.2245","86",250
"13","Satsuki Fujisawa","Fujisawa","3.0988","2.9827","81",250
"14","Maria Larsson","Wrana","3.2870","3.1775","108",250
"15","Yurika Yoshida","Fujisawa","3.5976","3.4885","82",250
"16","Selina Witschonke","Tirinzoni","3.2787","3.1741","122",250
"17","Jocelyn Peterman","Lawes","3.3750","3.2777","80",250
"18","Carole Howald","Tirinzoni","3.4878","3.3956","123",250
"19","Silvana Tirinzoni","Tirinzoni","3.2823","3.1941","124",250
"20","Kristin MacCuish","Lawes","3.5000","3.4123","80",250
"21","Suji Kim","Gim","3.3617","3.2827","94",250
"22","Shannon Birchard","Einarson","3.2750","3.1977","80",250
"23","Agnes Knochenhauer","Hasselborg","3.2889","3.2199","90",250
"24","Ye Ji Seol","Gim","3.3125","3.2503","16",250
"25","ChoHi KIM","Kim","3.2609","3.2038","92",250
"26","Minji Kim","Gim","3.2364","3.1868","110",250
"27","Linda Stenlund","Wrana","3.4630","3.4275","108",250
"28","Elena Mathis","Constantini","3.1711","3.1376","76",250
"29","Krysten Karwacki","Einarson","3.4875","3.454","80",250
"30","Ye Eun Seol","Gim","3.4537","3.4234","108",250
"31","Selena Njegovan","Lawes","3.2250","3.2125","80",250
"32","Eunjung KIM","Kim","3.0769","3.0766","91",250
"33","Selina Gafner","X. Schwaller","3.1250","3.1247","80",250
"34","Sofia Mabergs","Hasselborg","3.4494","3.4586","89",250
"35","Chinami Yoshida","Fujisawa","3.1098","3.1397","82",250
"36","Kerri Einarson","Einarson","3.0256","3.0786","78",250
"37","Yumi Suzuki","Fujisawa","3.1585","3.2133","82",250
"38","Kaitlyn Lawes","Lawes","3.0263","3.0913","76",250
"39","Marta Lo Deserto","Constantini","2.9773","3.0683","44",250
"40","Selina Rychiger","X. Schwaller","3.3500","3.4474","80",250
"41","Fabienne Rieder","X. Schwaller","3.1125","3.2345","80",250
"42","Lauren Lenentine","Jones","3.3158","3.4499","76",250
"43","Xenia Schwaller","X. Schwaller","2.9103","3.0601","78",250
"44","Emily Zacharias","Jones","3.0132","3.1809","76",250
"45","Karlee Burgess","Jones","2.9605","3.1336","76",250
"46","Angela Romei","Constantini","3.0938","3.295","32",250
"47","Giulia Zardini Lacedelli","Constantini","3.2237","3.4674","76",250
"48","Stefania Constantini","Constantini","2.6974","3.0265","76",250
"49","Jennifer Jones","Jones","2.5946","2.9463","74",250
"50","Eun Ji Gim","Gim","2.6636","3.0517","110",250
"51","Rachel Homan","CAN (Homan)","3.5425","3.0544","247",252
"52","Alina Pätz","SUI (Tirinzoni)","3.5636","3.0908","236",252
"53","Carole Howald","SUI (Tirinzoni)","3.7208","3.3383","240",252
"54","Silvana Tirinzoni","SUI (Tirinzoni)","3.4706","3.0936","238",252
"55","Mone Ryokawa","JPN (Ueno)","3.9444","3.5686","18",252
"56","Stefania Constantini","ITA (Constantini)","3.3948","3.0219","271",252
"57","Sarah Wilkes","CAN (Homan)","3.6720","3.3078","250",252
"58","Zardini Lacedelli","ITA (Constantini)","3.6825","3.3303","274",252
"59","Emma Miskew","CAN (Homan)","3.5259","3.1782","251",252
"60","Anna Hasselborg","SWE (Hasselborg)","3.3771","3.0352","236",252
"61","Selina Witschonke","SUI (Tirinzoni)","3.4706","3.1301","238",252
"62","Sara McManus","SWE (Hasselborg)","3.5123","3.187","244",252
"63","Mille Haslev Nordbye","NOR (Roervik)","3.4352","3.1551","216",252
"64","Tara Peterson","USA (Peterson)","3.4423","3.1766","208",252
"65","Martine Roenning","NOR (Roervik)","3.6435","3.3838","216",252
"66","Sofia Mabergs","SWE (Hasselborg)","3.6066","3.3521","244",252
"67","Tracy Fleury","CAN (Homan)","3.4167","3.1657","252",252
"68","Agnes Knochenhauer","SWE (Hasselborg)","3.4016","3.1613","244",252
"69","Yeji Seol","KOR (Gim)","3.5000","3.2609","16",252
"70","Angela Romei","ITA (Constantini)","3.4139","3.1904","273",252
"71","Yui Ueno","JPN (Ueno)","3.5354","3.3333","226",252
"72","Eunji Gim","KOR (Gim)","3.2122","3.0275","278",252
"73","Sophie Jackson","SCO (Morrison)","3.5467","3.3696","214",252
"74","Suji Kim","KOR (Gim)","3.3769","3.2033","268",252
"75","Yeeun Seol","KOR (Gim)","3.5141","3.3454","284",252
"76","Jasmin Lander","DEN (Dupont)","3.2639","3.1038","144",252
"77","Cory Thiesse","USA (Peterson)","3.3317","3.1742","208",252
"78","Marianne Roervik","NOR (Roervik)","3.3009","3.1679","216",252
"79","Minji Kim","KOR (Gim)","3.2887","3.1683","284",252
"80","Jennifer Dodds","SCO (Morrison)","3.2477","3.1289","214",252
"81","Sophie Sinclair","SCO (Morrison)","3.2430","3.153","214",252
"82","Elena Mathis","ITA (Constantini)","3.2299","3.1507","274",252
"83","Mathilde Halse","DEN (Dupont)","3.2161","3.1429","236",252
"84","Vicky Persinger","USA (Peterson)","3.4865","3.4145","74",252
"85","Tabitha Peterson","USA (Peterson)","3.0693","3.0041","202",252
"86","Becca Hamilton","USA (Peterson)","3.4179","3.3705","134",252
"87","Stefanie Berset","SUI (Tirinzoni)","3.3000","3.2748","10",252
"88","Berfin Sengul","TUR (Yildiz)","3.3966","3.3885","232",252
"89","Dilsat Yildiz","TUR (Yildiz)","3.0173","3.0111","231",252
"90","Heili Grossmann","EST (Turmann)","3.3380","3.3523","216",252
"91","Oznur Polat","TUR (Yildiz)","3.0948","3.1098","232",252
"92","Kristin Skaslien","NOR (Roervik)","3.0145","3.0382","207",252
"93","Rebecca Morrison","SCO (Morrison)","2.9904","3.0152","209",252
"94","Marta Lo Deserto","ITA (Constantini)","3.0000","3.042","4",252
"95","Kerli Laidsalu","EST (Turmann)","3.0972","3.1531","216",252
"96","Asuka Kanai","JPN (Ueno)","3.0398","3.0961","226",252
"97","Junko Nishimuro","JPN (Ueno)","3.0577","3.1188","208",252
"98","Denise Dupont","DEN (Dupont)","3.1611","3.2276","149",252
"99","Madeleine Dupont","DEN (Dupont)","2.9310","3.0209","232",252
"100","Liisa Turmann","EST (Turmann)","3.0185","3.1659","216",252
"101","Natalie Thurlow","NZL (Smith)","3.0500","3.2048","40",252
"102","My Larsen","DEN (Dupont)","3.2528","3.41","178",252
"103","Calikusu Is","TUR (Yildiz)","2.9747","3.1326","198",252
"104","Iclal Karaman","TUR (Yildiz)","2.7941","3.0228","34",252
"105","Holly Thompson","NZL (Smith)","3.1193","3.385","176",252
"106","Miyu Ueno","JPN (Ueno)","2.7027","2.9702","222",252
"107","Erika Tuvike","EST (Turmann)","2.6526","2.9859","213",252
"108","Bridget Becker","NZL (Smith)","2.5966","2.9922","176",252
"109","Jessica Smith","NZL (Smith)","2.5284","2.9433","176",252
"110","Courtney Smith","NZL (Smith)","2.6158","3.0636","190",252
"111","Ingeborg Forbregd","NOR (Roervik)","2.5000","2.9543","2",252
"112","Rachel Brown","CAN (Homan)","2.0000","2.9402","2",252
"113","Hailey Brittain","HUM (Mallett)","4.0000","3.1021","1",246
"114","Cate Fitzgerald","DAL (MacNutt)","3.5031","2.9348","159",246
"115","Britney Malette","LAU (Lehtimaki-Croisier)","3.4962","2.9414","133",246
"116","Zoe Cinnamon","ALB (Gray-Withers)","3.4036","2.8996","166",246
"117","Catherine Clifford","ALB (Gray-Withers)","3.3494","2.8476","166",246
"118","Mya Smith","LAU (Lehtimaki-Croisier)","3.3382","2.8738","136",246
