"","ends_left","hammer","margin","win_probability","gender","team1","team2"
"1","1","0","-6","0","women","1-25","1-25"
"2","1","0","-4","0","women","1-25","1-25"
"3","1","0","-3","0","women","1-25","1-25"
"4","1","0","-2","0.6","women","1-25","1-25"
"5","1","0","-1","6.3","women","1-25","1-25"
"6","1","0","0","20.1","women","1-25","1-25"
"7","1","0","1","60.6","women","1-25","1-25"
"8","1","0","2","87.8","women","1-25","1-25"
"9","1","0","3","99","women","1-25","1-25"
"10","1","0","4","100","women","1-25","1-25"
"11","1","0","5","100","women","1-25","1-25"
"12","1","0","6","100","women","1-25","1-25"
"13","1","1","-6","0","women","1-25","1-25"
"14","1","1","-5","0","women","1-25","1-25"
"15","1","1","-4","0","women","1-25","1-25"
"16","1","1","-3","1","women","1-25","1-25"
"17","1","1","-2","12.2","women","1-25","1-25"
"18","1","1","-1","39.4","women","1-25","1-25"
"19","1","1","0","79.9","women","1-25","1-25"
"20","1","1","1","93.7","women","1-25","1-25"
"21","1","1","2","99.4","women","1-25","1-25"
"22","1","1","3","100","women","1-25","1-25"
"23","1","1","4","100","women","1-25","1-25"
"24","1","1","6","100","women","1-25","1-25"
"25","2","0","-6","0","women","1-25","1-25"
"26","2","0","-5","0","women","1-25","1-25"
"27","2","0","-4","0","women","1-25","1-25"
"28","2","0","-3","0","women","1-25","1-25"
"29","2","0","-2","2.8","women","1-25","1-25"
"30","2","0","-1","11.3","women","1-25","1-25"
"31","2","0","0","30.1","women","1-25","1-25"
"32","2","0","1","65.1","women","1-25","1-25"
"33","2","0","2","88.7","women","1-25","1-25"
"34","2","0","3","97.1","women","1-25","1-25"
"35","2","0","4","99.7","women","1-25","1-25"
"36","2","0","5","100","women","1-25","1-25"
"37","2","0","6","100","women","1-25","1-25"
"38","2","1","-6","0","women","1-25","1-25"
"39","2","1","-5","0","women","1-25","1-25"
"40","2","1","-4","0.3","women","1-25","1-25"
"41","2","1","-3","2.9","women","1-25","1-25"
"42","2","1","-2","11.3","women","1-25","1-25"
"43","2","1","-1","34.9","women","1-25","1-25"
"44","2","1","0","69.9","women","1-25","1-25"
"45","2","1","1","88.7","women","1-25","1-25"
"46","2","1","2","97.2","women","1-25","1-25"
"47","2","1","3","100","women","1-25","1-25"
"48","2","1","4","100","women","1-25","1-25"
"49","2","1","5","100","women","1-25","1-25"
"50","2","1","6","100","women","1-25","1-25"
"51","3","0","-6","0","women","1-25","1-25"
"52","3","0","-5","0","women","1-25","1-25"
"53","3","0","-4","0","women","1-25","1-25"
"54","3","0","-3","1.1","women","1-25","1-25"
"55","3","0","-2","3.8","women","1-25","1-25"
"56","3","0","-1","13","women","1-25","1-25"
"57","3","0","0","33","women","1-25","1-25"
"58","3","0","1","62.8","women","1-25","1-25"
"59","3","0","2","80.3","women","1-25","1-25"
"60","3","0","3","94.5","women","1-25","1-25"
"61","3","0","4","98.5","women","1-25","1-25"
"62","3","0","5","99.9","women","1-25","1-25"
"63","3","0","6","100","women","1-25","1-25"
"64","3","1","-6","0","women","1-25","1-25"
"65","3","1","-5","0.1","women","1-25","1-25"
"66","3","1","-4","1.5","women","1-25","1-25"
"67","3","1","-3","5.5","women","1-25","1-25"
"68","3","1","-2","19.7","women","1-25","1-25"
"69","3","1","-1","37.2","women","1-25","1-25"
"70","3","1","0","67","women","1-25","1-25"
"71","3","1","1","87","women","1-25","1-25"
"72","3","1","2","96.2","women","1-25","1-25"
